coin,actual,forecast,returns_predicted
ADAUSDT,0.4672,0.4302226,-0.0791468306967657
ADAUSDT,0.4623,0.4361882,-0.056482389843260164
ADAUSDT,0.447,0.50190246,0.12282429765534879
ADAUSDT,0.4492,0.45537502,0.013746695760521444
ADAUSDT,0.4378,0.44439244,0.015058114900061781
ADAUSDT,0.4813,0.45853615,-0.04729659656910647
ADAUSDT,0.3918,0.42032808,0.07281286537555974
ADAUSDT,0.4032,0.40680942,0.008951933019691036
ADAUSDT,0.3691,0.48410794,0.31159019612322914
ADAUSDT,0.4317,0.3744769,-0.1325529079512365
ADAUSDT,0.4373,0.3960409,-0.09434967610210683
ADAUSDT,0.4176,0.37987453,-0.09033877525293056
ADAUSDT,0.3636,0.40074074,0.10214725710508984
ADAUSDT,0.3516,0.5250288,0.4932560432486159
ADAUSDT,0.3248,0.3780811,0.1640428358991746
ADAUSDT,0.3689,0.36562416,-0.008880022839499428
ADAUSDT,0.4694,0.51460737,0.09630884086014012
ADAUSDT,0.3185,0.44422743,0.3947485941732697
ADAUSDT,0.3435,0.34203577,-0.004262677099680529
ADAUSDT,0.3303,0.34837756,0.054730716344987614
ADAUSDT,0.3584,0.3819683,0.0657597366454346
ADAUSDT,0.4017,0.3672307,-0.08580853032745293
ADAUSDT,0.3517,0.4016094,0.14190898769987145
ADAUSDT,0.3396,0.368001,0.08363078325741138
ADAUSDT,0.4561,0.4766435,0.04504166347785519
ADAUSDT,0.3497,0.41571507,0.18877628990197334
ADAUSDT,0.3561,0.4086336,0.14752482377019893
ADAUSDT,0.3336,0.37776732,0.1323960564976973
ADAUSDT,0.6132,0.45235187,-0.2623094126669628
ADAUSDT,0.7026,0.5311372,-0.24404038142316403
ADAUSDT,1.0226,0.6317812,-0.3821814781575433
ADAUSDT,1.079,0.92447853,-0.1432080343987126
ADAUSDT,1.2278,0.94580936,-0.22967147392177256
ADAUSDT,1.1213,0.73124313,-0.3478612917640935
ADAUSDT,0.8806,0.65054196,-0.26125146355543416
ADAUSDT,1.155,0.60666496,-0.4747489561766257
ADAUSDT,0.8615,0.8653272,0.0044424601647304
ADAUSDT,0.4578,0.77016413,0.6823157101752405
ADAUSDT,0.4828,0.44216195,-0.08417160834965869
BCHUSDT,484.9,450.25183,-0.07145425643496077
BCHUSDT,493.6,464.34232,-0.05927407683584258
BCHUSDT,454.8,534.7991,0.1758994552894129
BCHUSDT,477.6,465.599,-0.025127723987777476
BCHUSDT,454.2,466.24515,0.026519479755786297
BCHUSDT,119.6,201.29799,0.6830935526053643
BCHUSDT,388.6,377.44125,-0.028715250483506555
