coin,actual,forecast
ADAUSDT,0.5737,0.6801625
ADAUSDT,0.6383,0.5971903
ADAUSDT,0.6202,0.6520732
ADAUSDT,0.7032,0.59811085
ADAUSDT,0.6762,0.7265976
ADAUSDT,0.8053,0.6688835
ADAUSDT,0.7596,0.7806768
ADAUSDT,0.7598,0.717967
ADAUSDT,0.6855,0.72209644
ADAUSDT,0.6703,0.67475164
ADAUSDT,0.6334,0.6800387
ADAUSDT,0.5419,0.6442678
ADAUSDT,0.5773,0.5373705
ADAUSDT,0.5858,0.5738566
ADAUSDT,0.7367,0.5867533
ADAUSDT,0.858,0.7265976
ADAUSDT,0.832,0.86761326
ADAUSDT,0.727,0.90412825
ADAUSDT,0.8014,0.717967
ADAUSDT,0.9609,0.76704484
ADAUSDT,0.909,0.96767586
ADAUSDT,0.8113,0.9316652
ADAUSDT,0.8351,0.7964691
ADAUSDT,0.8879,0.84987247
ADAUSDT,0.884,0.87841344
ADAUSDT,0.8086,0.87841344
ADAUSDT,0.8371,0.77624655
ADAUSDT,0.7,0.86761326
ADAUSDT,0.6528,0.759773
ADAUSDT,0.6812,0.68060976
ADAUSDT,0.6106,0.69916636
ADAUSDT,0.579,0.58869237
ADAUSDT,0.4845,0.59428096
ADAUSDT,0.4085,0.48453823
ADAUSDT,0.4143,0.39892465
ADAUSDT,0.4173,0.39892465
ADAUSDT,0.3963,0.40236905
ADAUSDT,0.3662,0.3922152
ADAUSDT,0.3688,0.37116525
BCHUSDT,272.2,319.53598
BCHUSDT,342.8,270.3403
BCHUSDT,336.1,331.31207
BCHUSDT,345.5,326.1721
BCHUSDT,356.2,327.91434
BCHUSDT,408.4,354.28546
BCHUSDT,406.5,402.12457
BCHUSDT,422.7,385.2788
BCHUSDT,403.4,407.34937
BCHUSDT,410.8,387.24393
BCHUSDT,460.4,381.65796
BCHUSDT,454.9,460.70456
BCHUSDT,504.5,459.7274
BCHUSDT,491.5,475.55447
BCHUSDT,508.0,490.34756
BCHUSDT,548.0,471.37927
BCHUSDT,590.0,498.39786
BCHUSDT,544.2,508.92764
BCHUSDT,570.5,475.2902
BCHUSDT,582.0,476.77994
BCHUSDT,583.2,470.7306
BCHUSDT,544.2,472.33566
BCHUSDT,603.2,465.69614
BCHUSDT,601.6,478.24463
BCHUSDT,593.6,470.44186
BCHUSDT,556.4,469.2752
BCHUSDT,594.2,471.05695
BCHUSDT,540.7,476.551
BCHUSDT,472.7,467.9988
BCHUSDT,559.4,445.30438
BCHUSDT,536.9,475.39716
BCHUSDT,503.5,507.36896
BCHUSDT,483.4,468.18137
BCHUSDT,539.3,464.21848
BCHUSDT,540.8,495.13232
BCHUSDT,598.5,492.09564
BCHUSDT,558.3,475.60855
BCHUSDT,591.1,469.7711
BCHUSDT,622.4,473.28754
BNBUSDT,555.54,658.15564
BNBUSDT,584.28,603.1442
BNBUSDT,592.77,567.3435
BNBUSDT,603.46,588.83923
BNBUSDT,586.03,611.97626
BNBUSDT,651.15,638.2203
BNBUSDT,651.53,627.5742
BNBUSDT,669.44,612.3331
BNBUSDT,660.77,642.0382
BNBUSDT,652.0,614.8292
BNBUSDT,648.19,632.0755
BNBUSDT,615.81,651.2979
BNBUSDT,654.9,641.09296
BNBUSDT,663.13,638.2412
BNBUSDT,692.0,657.0326
BNBUSDT,756.82,672.893
BNBUSDT,844.0,680.92346
BNBUSDT,751.21,717.43335
BNBUSDT,807.22,693.4711
BNBUSDT,855.38,695.70953
BNBUSDT,876.51,693.4711
BNBUSDT,857.65,723.85187
BNBUSDT,880.05,716.2594
BNBUSDT,926.51,701.50244
BNBUSDT,1047.8,706.425
BNBUSDT,993.01,718.7736
BNBUSDT,1167.38,717.8049
BNBUSDT,1302.65,723.39905
BNBUSDT,1109.88,726.61633
BNBUSDT,1138.19,713.5871
BNBUSDT,1083.25,718.9604
BNBUSDT,996.63,696.11676
